J.D. Martinez,BOS,"OF,U",44,0.377,106,121,4,656,6184
Mookie Betts,BOS,"OF,U",32,0.386,112,102,26,685,13611
Nolan Arenado,COL,"3B,CI,U",39,0.363,96,111,3,654,9777
Bryce Harper,PHI,"OF,U",35,0.394,93,95,10,627,11579
Aaron Judge,NYY,"OF,U",39,0.378,103,99,7,648,15640
Freddie Freeman,ATL,"1B,CI,U",28,0.388,95,97,9,663,5361
Juan Soto,WAS,"OF,U",29,0.39,94,96,7,645,20123
Joey Votto,CIN,"1B,CI,U",22,0.412,92,82,4,658,4314
Christian Yelich,MIL,"OF,U",28,0.38,98,86,13,653,11477
Paul Goldschmidt,STL,"1B,CI,U",32,0.387,98,92,13,662,9218
Anthony Rizzo,CHC,"1B,CI,U",29,0.384,93,93,8,659,3473
Giancarlo Stanton,NYY,"OF,U",42,0.354,93,102,3,612,4949
Kris Bryant,CHC,"3B,CI,OF,U",31,0.373,94,93,7,659,15429
Justin Turner,LAD,"3B,CI,U",24,0.38,89,87,4,654,5235
Charlie Blackmon,COL,"OF,U",27,0.363,94,87,13,633,7859
Anthony Rendon,WAS,"3B,CI,U",27,0.369,89,96,6,652,12861
Josh Donaldson,ATL,"3B,CI,U",29,0.366,82,82,5,565,5038
Matt Carpenter,STL,"1B,2B,3B,CI,MI,U",29,0.374,87,86,4,627,8090
Manny Machado,SDP,"3B,SS,CI,MI,U",34,0.35,86,98,8,641,11493
Daniel Murphy,COL,"1B,2B,CI,MI,U",22,0.357,82,89,4,619,4316
Rhys Hoskins,PHI,"1B,CI,OF,U",37,0.348,90,101,5,656,16472
Trevor Story,COL,"SS,MI,U",35,0.334,97,99,18,647,12564
Eugenio Suarez,CIN,"3B,CI,U",34,0.349,88,97,4,637,12552
Andrew McCutchen,PHI,"OF,U",27,0.364,83,80,11,599,9847
Vladimir Guerrero Jr.,TOR,"3B,CI,U",20,0.366,76,72,6,581,sa920245
Corey Seager,LAD,"SS,MI,U",24,0.357,85,87,3,647,13624
Andrew Benintendi,BOS,"OF,U",18,0.367,94,79,18,649,17901
Yasiel Puig,CIN,"OF,U",31,0.34,87,87,12,601,14225
Ronald Acuna Jr.,ATL,"OF,U",31,0.341,97,89,23,656,18401
Jung Ho Kang,PIT,"3B,CI,U",9,0.345,24,27,2,184,17182
Xander Bogaerts,BOS,"SS,MI,U",23,0.355,90,87,9,649,12161
Travis Shaw,MIL,"1B,2B,3B,CI,MI,U",34,0.341,85,92,5,639,11982
Max Muncy,LAD,"1B,2B,3B,CI,MI,U",29,0.351,78,82,4,570,13301
Marcell Ozuna,STL,"OF,U",29,0.341,83,89,2,634,10324
Cody Bellinger,LAD,"1B,CI,OF,U",33,0.341,89,93,10,639,15998
Michael Conforto,NYM,"OF,U",31,0.35,84,89,4,652,16376
Joc Pederson,LAD,"OF,U",21,0.345,57,57,5,410,11899
Gary Sanchez,NYY,"C,U",32,0.331,77,82,3,553,11442
Steve Pearce,BOS,"1B,CI,OF,U",14,0.347,47,48,2,346,9957
Kyle Schwarber,CHC,"OF,U",31,0.347,79,86,4,581,16478
Jesus Aguilar,MIL,"1B,CI,U",36,0.329,83,96,1,632,11342
Aaron Hicks,NYY,"OF,U",26,0.355,89,77,10,634,5297
Tommy Pham,TB,"OF,U",22,0.355,79,68,17,574,2967
David Peralta,ARI,"OF,U",23,0.343,82,81,5,632,2136
Mike Moustakas,MIL,"3B,CI,U",34,0.324,78,91,3,611,4892
Matt Adams,WAS,"1B,CI,OF,U",14,0.323,32,41,1,248,9393
A.J. Pollock,LAD,"OF,U",26,0.334,85,81,17,604,9256
Brandon Belt,SF,"1B,CI,OF,U",21,0.354,78,76,4,624,10264
Justin Smoak,TOR,"1B,CI,U",30,0.341,81,81,2,629,9054
Didi Gregorius,NYY,"SS,MI,U",13,0.332,39,39,4,296,6012
Yoenis Cespedes,NYM,"OF,U",5,0.321,11,12,1,84,13110
J.T. Realmuto,PHI,"C,1B,CI,U",23,0.33,71,75,6,548,11739
Ryan Braun,MIL,"1B,CI,OF,U",23,0.335,77,72,14,561,3410
Scooter Gennett,CIN,"2B,MI,U",26,0.33,81,86,5,622,10339
Robinson Cano,NYM,"2B,MI,U",23,0.341,73,82,1,625,3269
Victor Robles,WAS,"OF,U",17,0.348,84,68,25,610,18363
Jesse Winker,CIN,"OF,U",16,0.362,70,66,3,566,13590
Lorenzo Cain,MIL,"OF,U",14,0.361,84,64,21,632,9077
Eric Thames,MIL,"1B,CI,OF,U",12,0.331,31,32,3,232,3711
Buster Posey,SF,"C,1B,CI,U",11,0.366,63,62,4,542,9166
Rafael Devers,BOS,"3B,CI,U",24,0.328,76,81,6,565,17350
Javier Baez,CHC,"2B,3B,SS,CI,MI,U",33,0.315,89,95,15,645,12979
Yasmani Grandal,MIL,"C,U",24,0.336,63,63,2,481,11368
Gleyber Torres,NYY,"2B,SS,MI,U",26,0.335,86,80,10,634,16997
David Dahl,COL,"OF,U",25,0.322,82,81,11,598,13744
Ryan Zimmerman,WAS,"1B,CI,U",24,0.328,70,79,2,547,4220
Adam Eaton,WAS,"OF,U",11,0.365,82,61,11,624,11205
Wil Myers,SDP,"3B,CI,OF,U",24,0.334,78,71,17,571,10047
Chris Iannetta,COL,"C,U",12,0.347,41,40,1,321,8267
Starling Marte,PIT,"OF,U",21,0.338,90,74,38,641,9241
Brian Dozier,WAS,"2B,MI,U",26,0.33,76,80,10,567,9810
Matt Kemp,CIN,"OF,U",7,0.32,19,23,0,156,5631
Jose Martinez,STL,"1B,CI,OF,U",14,0.346,58,56,3,469,7996
Eric Hosmer,SDP,"1B,CI,U",21,0.349,80,77,7,648,3516
Greg Bird,NYY,"1B,CI,U",8,0.332,24,25,0,183,14131
Josh Bell,PIT,"1B,CI,U",19,0.35,75,75,5,613,13145
Miguel Andujar,NYY,"3B,CI,U",25,0.321,79,83,4,612,15878
Luke Voit,NYY,"1B,CI,U",21,0.333,65,66,1,500,14811
Trea Turner,WAS,"SS,MI,U",19,0.342,93,74,36,652,16252
Corey Dickerson,PIT,"OF,U",21,0.324,72,82,6,592,10762
Jake Lamb,ARI,"3B,CI,U",23,0.339,74,75,6,591,13329
Hunter Renfroe,SDP,"OF,U",18,0.306,40,48,2,318,15464
Ozzie Albies,ATL,"2B,MI,U",21,0.329,86,81,16,656,16556
Wilmer Flores,ARI,"1B,2B,3B,CI,MI,U",21,0.326,69,80,2,600,5827
Francisco Cervelli,PIT,"C,U",12,0.356,57,49,5,460,5275
Kurt Suzuki,WAS,"C,U",11,0.329,37,43,1,311,8259
Derek Dietrich,CIN,"1B,CI,OF,U",5,0.335,16,16,0,129,10542
Gregory Polanco,PIT,"OF,U",15,0.329,48,51,7,383,12907
Avisail Garcia,TB,"OF,U",11,0.328,34,37,2,277,5760
Brandon Nimmo,NYM,"OF,U",18,0.352,75,59,7,604,12927
Troy Tulowitzki,NYY,"SS,MI,U",13,0.327,40,41,1,317,3531
Tyler Flowers,ATL,"C,U",13,0.337,45,46,1,370,9134
Scott Schebler,CIN,"OF,U",16,0.321,48,49,4,365,12225
Steven Souza Jr.,ARI,"OF,U",21,0.333,71,65,10,556,5667
Odubel Herrera,PHI,"OF,U",15,0.331,57,55,7,458,11476
Willson Contreras,CHC,"C,U",15,0.338,62,55,5,486,11609
DJ LeMahieu,NYY,"2B,MI,U",12,0.349,74,58,9,570,9874
Daniel Descalso,CHC,"1B,2B,3B,CI,MI,U",9,0.343,33,30,1,266,8392
Luis Urias,SDP,"2B,MI,U",10,0.353,66,51,7,551,16622
Jed Lowrie,NYM,"2B,3B,CI,MI,U",19,0.337,66,69,1,593,4418
Tyler O'Neill,STL,"OF,U",5,0.307,13,15,1,101,15711
Enrique Hernandez,LAD,"2B,SS,MI,OF,U",17,0.325,51,53,2,414,10472
Mitch Moreland,BOS,"1B,CI,U",13,0.329,45,46,1,353,3086
Randal Grichuk,TOR,"OF,U",29,0.296,70,75,5,533,10243
Ben Zobrist,CHC,"2B,MI,OF,U",9,0.346,51,45,3,423,7435
Howie Kendrick,WAS,"2B,MI,OF,U",4,0.336,21,20,3,168,4229
Franmil Reyes,SDP,"OF,U",25,0.317,67,76,1,557,14566
Ji-Man Choi,TB,U,15,0.333,49,50,3,415,5452
Yadier Molina,STL,"C,U",16,0.324,60,61,6,498,7007
Trey Mancini,BAL,"1B,CI,OF,U",23,0.319,69,72,1,601,15149
Austin Meadows,TB,"OF,U",18,0.32,66,66,14,539,15672
Logan Morrison,FA,"1B,CI,U",22,0.325,59,64,2,490,9205
Paul DeJong,STL,"SS,MI,U",27,0.308,73,83,2,606,18015
Jeff McNeil,NYM,"2B,MI,U",7,0.334,35,32,5,304,15362
Eduardo Escobar,ARI,"3B,SS,CI,MI,U",21,0.319,72,78,5,618,6153
Daniel Robertson,TB,"2B,3B,SS,CI,MI,U",10,0.343,43,40,3,373,14145
Dustin Pedroia,BOS,"2B,MI,U",10,0.348,68,61,4,558,8370
Matt Holliday,FA,"OF,U",7,0.333,25,24,1,210,1873
Adam Frazier,PIT,"2B,MI,OF,U",11,0.342,72,62,11,607,15223
Ian Desmond,COL,"1B,CI,OF,U",17,0.324,70,60,16,522,6885
Chris Taylor,LAD,"2B,SS,MI,OF,U",17,0.327,74,63,11,575,13757
Maikel Franco,PHI,"3B,CI,U",27,0.308,68,84,2,594,12179
Ian Happ,CHC,"3B,CI,OF,U",19,0.326,58,57,7,453,17919
Nick Markakis,ATL,"OF,U",11,0.351,70,68,1,635,5930
Kendrys Morales,TOR,"1B,CI,U",26,0.317,73,77,3,615,8610
Dexter Fowler,STL,"OF,U",10,0.339,45,37,5,356,4062
Jedd Gyorko,STL,"2B,3B,CI,MI,U",10,0.322,31,32,2,258,10816
Nathaniel Lowe,TB,"1B,CI,U",10,0.329,35,38,1,311,sa918283
David Freese,LAD,"1B,3B,CI,U",6,0.335,26,25,1,220,9549
Jackie Bradley Jr.,BOS,"OF,U",20,0.325,84,76,11,635,12984
Wilson Ramos,NYM,"C,U",15,0.315,43,49,1,381,1433
Clint Frazier,NYY,"OF,U",3,0.317,11,10,1,84,15983
Evan Gattis,FA,U,17,0.302,42,48,1,350,11003
Cesar Hernandez,PHI,"2B,MI,U",12,0.349,81,57,15,648,10556
Johan Camargo,ATL,"3B,SS,CI,MI,U",13,0.319,47,49,2,401,14950
Ketel Marte,ARI,"2B,SS,MI,U",13,0.332,73,66,8,632,13613
Jean Segura,PHI,"SS,MI,U",14,0.328,80,68,23,641,5933
Evan Longoria,SF,"3B,CI,U",20,0.313,70,78,3,624,9368
Adam Jones,FA,"OF,U",20,0.314,71,77,3,630,6368
Danny Jansen,TOR,"C,U",13,0.326,51,46,4,438,16535
Russell Martin,LAD,"C,3B,CI,U",7,0.338,28,24,2,227,4616
Alex Verdugo,LAD,"OF,U",8,0.33,41,39,3,350,17027
Nick Senzel,CIN,"3B,CI,U",14,0.318,57,55,9,461,sa873264
Brett Gardner,NYY,"OF,U",7,0.34,51,34,10,387,9927
Curtis Granderson,MIA,"OF,U",18,0.324,57,54,3,506,4747
Todd Frazier,NYM,"3B,CI,U",13,0.312,34,35,4,288,785
Denard Span,FA,"OF,U",7,0.333,42,33,6,350,8347
Mark Trumbo,BAL,"OF,U",27,0.302,64,73,1,574,6876
Brandon Lowe,TB,"2B,MI,U",8,0.317,28,29,3,242,18882
Billy McKinney,TOR,"OF,U",14,0.312,49,46,3,410,15654
Rowdy Tellez,TOR,"1B,CI,U",1,0.314,2,2,0,21,15679
Ian Kinsler,SDP,"2B,MI,U",15,0.315,61,57,10,516,6195
Matt Duffy,TB,"3B,CI,U",4,0.341,39,32,8,346,13836
Nick Williams,PHI,"OF,U",4,0.306,14,14,1,116,14330
Ryan McMahon,COL,"1B,2B,3B,CI,MI,U",16,0.315,70,68,6,586,15112
Teoscar Hernandez,TOR,"OF,U",17,0.301,52,48,8,410,13066
Colin Moran,PIT,"1B,3B,CI,U",14,0.324,54,60,2,503,16909
Jose Peraza,CIN,"SS,MI,U",12,0.322,77,63,24,615,13593
Francisco Mejia,SDP,"C,U",10,0.312,37,39,2,335,16403
Garrett Hampson,COL,"2B,SS,MI,U",4,0.331,33,24,9,264,19262
Jose Bautista,FA,"3B,CI,OF,U",12,0.329,42,37,4,350,1887
Ender Inciarte,ATL,"OF,U",10,0.333,80,62,21,649,4922
Jason Heyward,CHC,"OF,U",10,0.332,61,53,4,532,4940
Brad Miller,LAD,"1B,2B,SS,CI,MI,U",2,0.314,8,7,1,64,12775
Yandy Diaz,TB,"3B,CI,U",5,0.351,48,38,3,443,16578
Brian Anderson,MIA,"3B,CI,OF,U",15,0.326,66,60,3,627,18289
Alex Avila,ARI,"C,U",12,0.335,44,39,1,380,7476
Brock Holt,BOS,"2B,SS,MI,OF,U",4,0.336,32,24,5,254,9345
Devon Travis,TOR,"2B,MI,U",9,0.308,40,37,4,342,13862
Carlos Gonzalez,FA,"OF,U",20,0.314,71,74,4,630,7287
Kolten Wong,STL,"2B,MI,U",11,0.329,58,48,9,493,12532
Brandon Crawford,SF,"SS,MI,U",17,0.319,68,73,5,631,5343
Kevin Kiermaier,TB,"OF,U",17,0.313,75,62,19,602,11038
Albert Almora Jr.,CHC,"OF,U",9,0.316,54,51,4,476,14109
Starlin Castro,MIA,"2B,MI,U",16,0.316,64,65,4,620,4579
Lonnie Chisenhall,PIT,"OF,U",9,0.313,35,36,3,318,7571
Jose Osuna,PIT,"1B,3B,CI,OF,U",3,0.305,11,12,1,99,12937
Joe Panik,SF,"2B,MI,U",8,0.329,59,54,5,555,11936
Raimel Tapia,COL,"OF,U",5,0.315,33,28,7,271,14350
Manuel Margot,SDP,"OF,U",11,0.312,59,49,14,487,14712
Mike Tauchman,COL,"OF,U",2,0.32,12,10,2,99,15274
Eduardo Nunez,BOS,"2B,3B,CI,MI,U",4,0.31,24,20,6,183,6848
Aaron Altherr,PHI,"OF,U",6,0.309,21,20,3,175,11270
Mark Zagunis,CHC,"OF,U",1,0.332,6,5,1,50,16565
Keibert Ruiz,LAD,"C,U",1,0.318,3,3,0,26,sa872528
Elias Diaz,PIT,"C,U",4,0.311,17,19,1,159,11680
Tucker Barnhart,CIN,"C,U",10,0.327,54,51,3,485,10200
Kevin Pillar,TOR,"OF,U",16,0.302,70,62,13,595,12434
Yangervis Solarte,SF,"2B,3B,SS,CI,MI,U",8,0.311,31,33,2,291,5352
Peter Alonso,NYM,"1B,CI,U",20,0.3,51,58,2,466,sa873981
Lourdes Gurriel Jr.,TOR,"2B,SS,MI,U",10,0.298,35,35,3,308,19238
Addison Russell,CHC,"SS,MI,U",10,0.313,42,41,2,376,14106
Melky Cabrera,PIT,"OF,U",3,0.318,17,17,1,159,4022
Yan Gomes,WAS,"C,U",12,0.292,35,43,1,311,9627
Travis d'Arnaud,NYM,"C,U",7,0.302,22,25,1,209,7739
Brian McCann,ATL,"C,U",10,0.308,29,31,1,258,4810
Mike Zunino,TB,"C,U",22,0.286,50,63,1,443,13265
Andy Young,ARI,"2B,MI,U",1,0.303,3,3,0,29,sa919031
Yonathan Daza,COL,"OF,U",0,0.316,4,3,1,35,sa597083
Devin Mesoraco,NYM,"C,U",1,0.305,3,4,0,32,5666
Carter Kieboom,WAS,"SS,MI,U",0,0.31,2,2,0,14,sa917937
Fernando Tatis Jr.,SDP,"SS,MI,U",8,0.302,29,27,5,244,sa919910
Joe McCarthy,TB,"1B,CI,OF,U",2,0.321,8,7,1,69,sa858039
Franchy Cordero,SDP,"OF,U",8,0.298,30,27,6,247,14567
Jonathan Villar,BAL,"2B,SS,MI,U",16,0.313,71,49,33,561,10071
Christian Walker,ARI,"1B,CI,U",6,0.295,20,22,1,179,13419
Chris Davis,BAL,"1B,CI,U",25,0.301,61,69,2,567,9272
Neil Walker,MIA,"1B,2B,3B,CI,MI,U",14,0.313,47,49,1,467,7539
Austin Riley,ATL,"3B,CI,U",3,0.294,9,10,0,80,sa874756
Dansby Swanson,ATL,"SS,MI,U",14,0.315,59,60,7,529,18314
David Bote,CHC,"2B,3B,CI,MI,U",3,0.305,13,13,1,109,14593
Victor Caratini,CHC,"C,1B,CI,U",4,0.319,20,19,1,185,14968
Austin Barnes,LAD,"C,2B,MI,U",9,0.326,45,38,5,390,12158
Austin Slater,SF,"OF,U",7,0.323,47,40,6,431,16153
Willy Adames,TB,"2B,SS,MI,U",14,0.317,68,63,9,616,15986
