Mookie Betts,BOS,6.08,9.34,7.88,5.62,15.1,44,677
Chris Sale,BOS,11.81,9.06,-0.93,9.57,12.59,42,202
Trea Turner,WSH,1.5,3.74,5.46,2.51,25.95,39,634
Max Scherzer,WAS,8.59,8.85,-0.93,7.85,10.27,35,208
Bryce Harper,FA,8.37,11.32,5.58,5.76,4.24,35,661
Jacob deGrom,NYM,10.52,7.89,-0.93,7,9.51,34,208
Ronald Acuna Jr.,ATL,6.08,3.28,5.46,4.13,14.37,33,620
Christian Yelich,MIL,5.31,8.47,5.7,4.95,7.86,32,652
Starling Marte,PIT,1.88,1.51,4,3.19,21.61,32,653
J.D. Martinez,BOS,9.51,7.07,5.94,8.73,-0.83,30,667
Aaron Judge,NYY,9.13,6.51,5.94,5.89,2.07,30,653
Paul Goldschmidt,STL,5.31,8.95,4.97,5.08,4.24,29,639
Trevor Story,COL,6.84,1.51,4.12,6.16,10.03,29,650
Anthony Rizzo,CHC,6.46,9.04,5.33,6.03,1.34,28,648
Juan Soto,WSH,5.7,10.24,4.73,5.49,1.34,27,648
Kris Bryant,CHC,6.08,8.16,5.94,5.08,1.34,27,604
Andrew Benintendi,BOS,1.88,6.09,5.58,4,9.31,27,659
Manny Machado,FA,7.98,4.85,5.21,6.16,2.79,27,654
Giancarlo Stanton,NYY,11.04,4.32,5.09,7.11,-1.55,26,632
Freddie Freeman,ATL,5.31,7.38,4.85,5.62,2.07,25,550
Nolan Arenado,COL,8.75,4.83,5.58,7.79,-1.55,25,649
Charlie Blackmon,COL,4.93,4.35,5.94,3.59,5.69,25,640
Luis Severino,NYY,5.03,6.31,-0.93,7.85,5.73,24,196
Rhys Hoskins,PHI,8.75,3.88,5.21,5.62,0.62,24,575
Clayton Kershaw,LAD,6.81,4.23,-0.93,6.14,6.45,23,185
Blake Snell,TB,6.95,6.87,-0.93,6.14,4.15,23,189
Lorenzo Cain,MIL,0.74,4.68,4,1.84,11.48,23,649
Joey Votto,CIN,3.41,11.56,4.85,4.13,-1.55,22,580
Andrew McCutchen,NYY,4.93,5.18,3.88,3.59,4.24,22,570
Yasiel Puig,CIN,4.93,3.89,2.42,4.13,6.41,22,633
Victor Robles,WSH,-0.03,1.5,2.55,1.57,16.54,22,665
Jonathan Villar,BAL,0.74,-0.89,2.18,0.89,18.71,22,648
Javier Baez,CHC,5.7,-1.87,3.15,5.08,8.58,21,660
Edwin Diaz,NYM,4.88,0.01,12.34,-1.58,3.91,20,65
James Paxton,NYY,4.36,5.14,-0.93,6.14,5.07,20,172
Cody Bellinger,LAD,5.7,2.66,3.03,4.81,3.52,20,548
A.J. Pollock,FA,3.41,0.5,3.52,3.59,9.31,20,546
Wil Myers,SD,4.55,-0.46,3.52,3.32,9.31,20,653
Walker Buehler,LAD,5.73,4.53,-0.93,5.28,3.92,19,163
Justin Turner,LAD,3.79,6.63,4.61,4.41,-0.83,19,626
Anthony Rendon,WSH,3.79,6.33,4.12,4.81,-0.1,19,546
Xander Bogaerts,BOS,2.64,4.41,4.24,4.68,3.52,19,615
Tommy Pham,TB,2.26,4.08,3.03,2.24,7.86,19,651
Aaron Nola,PHI,4.08,5.75,-0.93,5.28,4.25,18,194
Patrick Corbin,WAS,5.02,4.68,-0.93,6.14,3.33,18,182
Matt Carpenter,STL,4.55,6.5,5.33,2.78,-0.83,18,551
Ender Inciarte,ATL,-1.17,1.09,3.15,0.89,13.65,18,635
Jean Segura,PHI,0.35,0.75,4,1.57,11.48,18,654
Ozzie Albies,ATL,2.64,0.04,4,3.05,7.86,18,602
Kenley Jansen,LAD,2.24,-1.01,14.35,-1.58,3.19,17,65
Noah Syndergaard,NYM,4.21,4.38,-0.93,4.42,4.53,17,176
Josh Donaldson,ATL,4.93,5.97,3.88,2.92,-0.83,17,664
